,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,458df4da2e23ba9ad76c79241a948cdfcccf72ae,Update README.,nostra13,3,6,1,e4ab564ee5e41685529a93494bd427e57960c469,README.md,3,6,9,2020-04-06 21:07:18
1,81eb4299432f6f52b6b83252267d245ddaa0a03f,"[#1084] Used ""cached images"" executor for local files (assets, drawables).",nostra13,9,1,1,57831af6c28e22136ebb5a192bd43be2c2294060,library/src/main/java/com/nostra13/universalimageloader/core/ImageLoaderEngine.java,9,1,10,2020-04-06 20:51:55
2,da742a392e24e158de26fe0640bdd2582a6d60a3,[#1229] Prevent crash on managing ImageLoader.,nostra13,24,8,1,16a67d61f3f1b807a220848fc5cca27322b3aa07,library/src/main/java/com/nostra13/universalimageloader/core/ImageLoader.java,24,8,32,2020-04-06 15:47:03
3,d72d9340f058266de84ee7706e50e968f112c798,Make circle displayer preserve aspect-ratio,Romain Vimont,6,2,1,96ae880785bf23eab5ad7c6ce76eac359696d07c,library/src/main/java/com/nostra13/universalimageloader/core/display/CircleBitmapDisplayer.java,6,2,8,2016-08-30 12:07:59
4,ae9ad0180b7c4f2595e17fee3598c9876f35f9d5,[#1262] Improve detection of video file extension.,nostra13,1,1,1,b94e4f133ee53d4fdf35e3f6feb530ca7c5a0aac,library/src/main/java/com/nostra13/universalimageloader/core/download/BaseImageDownloader.java,1,1,2,2020-04-06 12:18:12
5,b4f00e1b5b50ceda9fff3e653cd93295ec175bec,Official Gradle Wrapper Validation Action,Jonathan Leitschuh,10,0,1,405a2b3065920c697e7f63a9073dfb771d4ef388,.github/workflows/gradle-wrapper-validation.yml,10,0,10,2020-02-04 16:51:32
6,f6a9615868482672c3630cb7db6dcf43391e80de,"[#1343] Fix ""No field mMaxHeight"" on Android 10. minSdkVersion 14 -> 16.",nostra13,197,203,6,338b1a8976d88a454886e4d7abbeb5cd264eba6f,build.gradle,2,2,4,2020-04-06 11:30:18
7,f6a9615868482672c3630cb7db6dcf43391e80de,"[#1343] Fix ""No field mMaxHeight"" on Android 10. minSdkVersion 14 -> 16.",nostra13,197,203,6,01a199e8d347d0c809a8169111ef6a1b7a38ca69,gradle/wrapper/gradle-wrapper.properties,1,1,2,2020-04-06 11:30:18
8,f6a9615868482672c3630cb7db6dcf43391e80de,"[#1343] Fix ""No field mMaxHeight"" on Android 10. minSdkVersion 14 -> 16.",nostra13,197,203,6,ef58b3eff498345c4eeda848d47ad3b879f15463,library/build.gradle,1,1,2,2020-04-06 11:30:18
9,f6a9615868482672c3630cb7db6dcf43391e80de,"[#1343] Fix ""No field mMaxHeight"" on Android 10. minSdkVersion 14 -> 16.",nostra13,197,203,6,77a312a2b3d16574190afd83aa3bc65a157c35de,library/src/main/java/com/nostra13/universalimageloader/core/imageaware/ImageViewAware.java,2,17,19,2020-04-06 11:30:18
10,f6a9615868482672c3630cb7db6dcf43391e80de,"[#1343] Fix ""No field mMaxHeight"" on Android 10. minSdkVersion 14 -> 16.",nostra13,197,203,6,7437587d762be3604aa7778284bcb1599a33f905,library/src/main/java/com/nostra13/universalimageloader/utils/ImageSizeUtils.java,190,181,371,2020-04-06 11:30:18
11,f6a9615868482672c3630cb7db6dcf43391e80de,"[#1343] Fix ""No field mMaxHeight"" on Android 10. minSdkVersion 14 -> 16.",nostra13,197,203,6,7339f6c882c080036a21832121823d771daa1710,sample/build.gradle,1,1,2,2020-04-06 11:30:18
12,1af62c41b5d10503732568f0c47628762bbd8eb9,"Update Gradle: 4.10 -> 5.1. Update Gradle plugin: 3.3.2 -> 3.4.0.
Remove ldpi resources.",nostra13,5,5,7,f9d9b6e2433b8fce87d0633a916ede1138587a99,build.gradle,1,1,2,2019-05-13 10:06:46
13,1af62c41b5d10503732568f0c47628762bbd8eb9,"Update Gradle: 4.10 -> 5.1. Update Gradle plugin: 3.3.2 -> 3.4.0.
Remove ldpi resources.",nostra13,5,5,7,5a520e7826f938b6f57f3d3f8366a5628aa800ee,gradle/wrapper/gradle-wrapper.properties,2,2,4,2019-05-13 10:06:46
14,1af62c41b5d10503732568f0c47628762bbd8eb9,"Update Gradle: 4.10 -> 5.1. Update Gradle plugin: 3.3.2 -> 3.4.0.
Remove ldpi resources.",nostra13,5,5,7,60f3133e1aaeca5fef8858d1f07088baacc5996d,library/build.gradle,2,2,4,2019-05-13 10:06:46
15,1af62c41b5d10503732568f0c47628762bbd8eb9,"Update Gradle: 4.10 -> 5.1. Update Gradle plugin: 3.3.2 -> 3.4.0.
Remove ldpi resources.",nostra13,5,5,7,01f614f3dc9d7cac7481cd82f5984d04649fd52d,sample/src/main/res/drawable-ldpi/ic_empty.png,0,0,0,2019-05-13 10:06:46
16,1af62c41b5d10503732568f0c47628762bbd8eb9,"Update Gradle: 4.10 -> 5.1. Update Gradle plugin: 3.3.2 -> 3.4.0.
Remove ldpi resources.",nostra13,5,5,7,4376473bb00b78a5528a96ae8190a242f29994cb,sample/src/main/res/drawable-ldpi/ic_error.png,0,0,0,2019-05-13 10:06:46
17,1af62c41b5d10503732568f0c47628762bbd8eb9,"Update Gradle: 4.10 -> 5.1. Update Gradle plugin: 3.3.2 -> 3.4.0.
Remove ldpi resources.",nostra13,5,5,7,657a6b43f6635bc2761e8bf36efdf841105b70b5,sample/src/main/res/drawable-ldpi/ic_launcher.png,0,0,0,2019-05-13 10:06:46
18,1af62c41b5d10503732568f0c47628762bbd8eb9,"Update Gradle: 4.10 -> 5.1. Update Gradle plugin: 3.3.2 -> 3.4.0.
Remove ldpi resources.",nostra13,5,5,7,65ec4074b881cd62ecb3c711aa442e24bf4140d9,sample/src/main/res/drawable-ldpi/ic_stub.png,0,0,0,2019-05-13 10:06:46
19,fc3c5f6779bb4f702e233653b61bd9d559e345cc,Update screenshots,nostra13,0,0,1,6c679cbdf925421e25ce9d362305dcf1b52b8502,UniversalImageLoader.png,0,0,0,2019-04-12 10:23:52
20,2d691152a5696ebb6c9fb83163dd8770a0ac7f2f,"Add gradle dependency info, fix broken links",Sergey Tarasevich,7,2,1,314d38ab51bebf9ca88607621703debce0c7c590,README.md,7,2,9,2019-04-10 13:02:48
21,7676d253af7ac00f5865707cd1e7f0f2f18e2f98,Suppress javadoc errors,nostra13,10,3,2,70b386f638054ce65a4a7f4c6e4fbbe5c4df06a0,build.gradle,7,0,7,2019-04-09 20:43:00
22,7676d253af7ac00f5865707cd1e7f0f2f18e2f98,Suppress javadoc errors,nostra13,10,3,2,80069c675a5c9042e03afb371d0e94966191f616,library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/BaseDiskCache.java,3,3,6,2019-04-09 20:43:00
23,0bc4cf993e73470eacad749dfa66f857713f2158,Update travis config,nostra13,2,2,1,d91b3d727a1f6484fb4e41934a4594c52f8bd7d0,.travis.yml,2,2,4,2019-04-09 20:20:43
24,70275ed6fdbca530eea74fba2ec34617a5f6f0ad,"Update Gradle, build tools, support lib. Up minSDK to 14.
Make project compilable.",nostra13,19,17,4,5bd58f9556b30f238f7f517b075c3fa0322cc11d,build.gradle,3,1,4,2019-04-09 20:11:58
25,70275ed6fdbca530eea74fba2ec34617a5f6f0ad,"Update Gradle, build tools, support lib. Up minSDK to 14.
Make project compilable.",nostra13,19,17,4,023a82d60c96db8102c3e2d33138894dfff1df5e,gradle/wrapper/gradle-wrapper.properties,2,2,4,2019-04-09 20:11:58
26,70275ed6fdbca530eea74fba2ec34617a5f6f0ad,"Update Gradle, build tools, support lib. Up minSDK to 14.
Make project compilable.",nostra13,19,17,4,abf92282e40f01c42f5447539d35fb7be0d3f734,library/build.gradle,7,7,14,2019-04-09 20:11:58
27,70275ed6fdbca530eea74fba2ec34617a5f6f0ad,"Update Gradle, build tools, support lib. Up minSDK to 14.
Make project compilable.",nostra13,19,17,4,be4574d0cff59684471c7d3352bee59e7a875bc8,sample/build.gradle,7,7,14,2019-04-09 20:11:58
28,4c728792d73e964f6d8501f742cda57dd56731c6,Update README.md,Sergey Tarasevich,1,1,1,62841c44331c1c8b2cade883503622576681981b,README.md,1,1,2,2016-01-26 11:29:19
29,761632c00c559cec2bc74845b69322f25fac04d6,Fixed DiskLruCache file naming,nostra13,2,2,1,6e18f31ff21dbac69e41e81f1604a4721ad67374,library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java,2,2,4,2015-12-12 21:01:03
30,5362cdb3234be8b8e6b2d050bc013f586e9f9ea8,Readme,nostra13,1,1,1,4d5acb126716104ad16b356b360c8ad986870fba,README.md,1,1,2,2015-11-28 20:36:13
31,6ba67f73d5f1b5db04c9e9fb65e2ea55f6126a63,Travis,nostra13,3,2,1,62bf27b77c12641ab4769da347befdc820ba3099,sample/build.gradle,3,2,5,2015-11-28 20:25:16
32,0131d800630a9876b3cf8edd3e3e1f2efff32e36,Travis,nostra13,2,0,1,1516d37279bed656e437ae68cc8ab314849acfec,.travis.yml,2,0,2,2015-11-28 19:54:53
33,372139775cddd6efe8147e830f8729ea43d79fd4,Travis,nostra13,2,2,1,93874c231e59c75db38502aea6bfefdb93770300,.travis.yml,2,2,4,2015-11-27 22:21:34
34,e92a777a216f79481aab5bc18ad3d580aef51b8a,Update Readme,nostra13,0,1,1,f444325cdcafcbb6d25bd583b581a41e083a679f,README.md,0,1,1,2015-11-27 22:12:42
35,cb1525ed7946064e86fd00e1aa420f8a88ad2b5d,Merge branch 'master' of https://github.com/nostra13/Android-Universal-Image-Loader,nostra13,1,0,1,1e8cadd49acd9a2312b28f80204d78daa24db22c,.travis.yml,1,0,1,2015-11-27 22:10:38
36,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,3e2ed348a5160afd5f66699feb7cd5db93bb188e,CHANGELOG.md,10,0,10,2015-11-27 22:09:09
37,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,aa5a473b7aa9a029e1903f2fbed4234895ed45c7,README.md,7,13,20,2015-11-27 22:09:09
38,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,b717b929116d1f00f2a3ff15d7b61a2b859eae46,downloads/universal-image-loader-1.9.4-javadoc.jar,0,0,0,2015-11-27 22:09:09
39,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,2a72f5a4eefdcc6ab00d7f8a9faa746dc9fc0e03,downloads/universal-image-loader-1.9.4-sources.jar,0,0,0,2015-11-27 22:09:09
40,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,ec2853b0e0738f19a1d010fefb76b96a1e0485c2,downloads/universal-image-loader-1.9.4-with-sources.jar,0,0,0,2015-11-27 22:09:09
41,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,0069f186cbe757b2399fcd317a696c62a6a9084d,downloads/universal-image-loader-1.9.5-javadoc.jar,0,0,0,2015-11-27 22:09:09
42,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,430168115c4ab9e32e7997f83cb12e4a86dcb382,downloads/universal-image-loader-1.9.5-sources.jar,0,0,0,2015-11-27 22:09:09
43,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,520dac3f072ce631739506389203fa726510fa1d,downloads/universal-image-loader-1.9.5.jar,0,0,0,2015-11-27 22:09:09
44,9da1b1ad1dd61b8df1571d7b6dc1308f19d5d40d,v1.9.5,nostra13,17,13,9,ad14d982a5b75b74593fd9a9b56e41af7c019324,downloads/universal-image-loader-sample-1.9.4.apk,0,0,0,2015-11-27 22:09:09
45,a0799bca6f308b55b2866fbe327418e485502a1b,Prepare for release,nostra13,1,1,1,021cc7f094877df66112b6b4a7a45191e48472e9,gradle.properties,1,1,2,2015-11-27 21:53:46
46,3ec62e03c7b1ea6ef8cc592d35fd755d8441076b,Update build tools,nostra13,5,5,3,66167eaaeac8562d6b675b4505921488f247fb1b,build.gradle,1,1,2,2015-11-27 21:30:36
47,3ec62e03c7b1ea6ef8cc592d35fd755d8441076b,Update build tools,nostra13,5,5,3,a0171adc6ec66dc9e98d0e0cc1548bbb3322be1b,library/build.gradle,2,2,4,2015-11-27 21:30:36
48,3ec62e03c7b1ea6ef8cc592d35fd755d8441076b,Update build tools,nostra13,5,5,3,3a780c2a89aa71e93c8d6517039fada4bbeda6a1,sample/build.gradle,2,2,4,2015-11-27 21:30:36
49,630e580313ff683700bebffac178fb6f3a556f1e,Merge pull request #1083 from vivekkiran/patch-5,Sergey Tarasevich,1,0,1,1e8cadd49acd9a2312b28f80204d78daa24db22c,.travis.yml,1,0,1,2015-09-10 21:42:35
50,66ae2b16771333f1040bc362b1ce19ae79e67dfe,Update .travis.yml,Vivek Kiran,1,0,1,1e8cadd49acd9a2312b28f80204d78daa24db22c,.travis.yml,1,0,1,2015-09-08 23:43:06
51,b1999ad67c53c9dd201f3e9fd7dbbf273e569631,Clean code,nostra13,7,9,1,30cc9ce6ffcde32743b60abbca8d575fdb76a524,library/src/main/java/com/nostra13/universalimageloader/core/ImageLoader.java,7,9,16,2015-08-08 22:52:29
52,5cea0acb4b5899845866d292a1fa5b6f4faf2870,Merge pull request #1029 from aiurlano/master,Sergey Tarasevich,48,1,1,a2d6559830337c0dd6a8afe39b449b90d6b1f9a4,library/src/main/java/com/nostra13/universalimageloader/core/ImageLoader.java,48,1,49,2015-08-08 22:44:13
53,562500747f8d6942bbe68937e8ba8ebf0d04a278,Ext: Base64ImageDownloader,nostra13,65,1,2,6d646b32efe4e2e7cb3abbf1fbe72886225f96d8,sample/build.gradle,1,1,2,2015-08-08 12:07:22
54,562500747f8d6942bbe68937e8ba8ebf0d04a278,Ext: Base64ImageDownloader,nostra13,65,1,2,098cbec41c75325de8f6da00fb29038ee9f91cdd,sample/src/main/java/com/nostra13/universalimageloader/sample/ext/Base64ImageDownloader.java,64,0,64,2015-08-08 12:07:22
55,d8f0a5808929eb50fd334e6bde715a5702dc0314,Improved CircleBitmapDisplayer,nostra13,41,22,3,5fba85f4b4af40859a7f621c7511b8132642e1b0,library/src/main/java/com/nostra13/universalimageloader/core/display/CircleBitmapDisplayer.java,31,18,49,2015-08-08 00:06:41
56,d8f0a5808929eb50fd334e6bde715a5702dc0314,Improved CircleBitmapDisplayer,nostra13,41,22,3,25168c098ccbde0ec65dcfabe32ccf585a5ed832,sample/src/main/java/com/nostra13/universalimageloader/sample/fragment/ImageGalleryFragment.java,4,1,5,2015-08-08 00:06:41
57,d8f0a5808929eb50fd334e6bde715a5702dc0314,Improved CircleBitmapDisplayer,nostra13,41,22,3,613eb15367c7a24464f8e71d7280f631b6fb3f67,sample/src/main/java/com/nostra13/universalimageloader/sample/fragment/ImageListFragment.java,6,3,9,2015-08-08 00:06:41
58,53dee270120e28443127ac512d4af2f275cdd1e1,Merge pull request #1061 from Qualtagh/master,Sergey Tarasevich,134,0,2,8e618db4f4ccdd60b570f3e429e16e63eb535774,library/src/main/java/com/nostra13/universalimageloader/core/display/CircleBitmapDisplayer.java,132,0,132,2015-08-07 22:49:01
59,53dee270120e28443127ac512d4af2f275cdd1e1,Merge pull request #1061 from Qualtagh/master,Sergey Tarasevich,134,0,2,f905cd8867077c43bbcfeceda83b1dbd41772a85,library/src/main/java/com/nostra13/universalimageloader/core/display/RoundedBitmapDisplayer.java,2,0,2,2015-08-07 22:49:01
60,5f7455c1050e7399f6c374ef75125619a65de0e5,Circle cropping for images.,Qualtagh,132,0,1,8e618db4f4ccdd60b570f3e429e16e63eb535774,library/src/main/java/com/nostra13/universalimageloader/core/display/CircleBitmapDisplayer.java,132,0,132,2015-08-07 20:24:03
61,85e751e2c857474464be186a3a996d26f147471b,Better rendering of scaled images.,Qualtagh,2,0,1,f905cd8867077c43bbcfeceda83b1dbd41772a85,library/src/main/java/com/nostra13/universalimageloader/core/display/RoundedBitmapDisplayer.java,2,0,2,2015-08-07 20:08:59
62,0554b8b2fc0ae4f6fb0c6db9351da3f183fa11e9,Merge pull request #1049 from johnjohndoe/fix-line-endings,Sergey Tarasevich,90,90,1,8a0b282aa6885fb573c106b3551f7275c5f17e8e,gradlew.bat,90,90,180,2015-07-28 19:11:57
63,efd2e418ccae3fe65c2867e265a451486c113e43,Convert line endings from CRLF to LF.,Tobias Preuss,90,90,1,8a0b282aa6885fb573c106b3551f7275c5f17e8e,gradlew.bat,90,90,180,2015-07-21 21:36:45
64,b0a7d283c60f0ebe3b56ce164ffeb03f75f32fb0,Merge pull request #1037 from mrleolink/master,Sergey Tarasevich,8,1,1,f6f974da63e11d3b4f1c4ab25d4a2453396954a2,sample/src/main/java/com/nostra13/universalimageloader/sample/ext/OkHttpImageDownloader.java,8,1,9,2015-07-12 07:47:59
65,e713e113a38be8b80d5b0ccf940c8b36fe8c6b33,Merge pull request #1033 from vivekkiran/patch-4,Sergey Tarasevich,1,1,1,0ff68508064337df87221838131d21cdbc2c2651,gradle/wrapper/gradle-wrapper.properties,1,1,2,2015-07-11 17:53:12
66,8d344900c571c6a797c0f6108039e87b86da631a,Add missed imports,Leo Link,3,0,1,f6f974da63e11d3b4f1c4ab25d4a2453396954a2,sample/src/main/java/com/nostra13/universalimageloader/sample/ext/OkHttpImageDownloader.java,3,0,3,2015-07-11 17:49:15
67,63c966d908f697c16f62b916f7bf90d208d00975,Update OkHttpImageDownloader.java,Leo Link,5,1,1,53773e54d4f1882c341de71c5156213401420924,sample/src/main/java/com/nostra13/universalimageloader/sample/ext/OkHttpImageDownloader.java,5,1,6,2015-07-11 14:56:03
68,4ef3d4698d3b8994350476290b99ced67685547a,Upgraded to Gradle 2.5,Vivek Kiran,1,1,1,0ff68508064337df87221838131d21cdbc2c2651,gradle/wrapper/gradle-wrapper.properties,1,1,2,2015-07-09 12:43:42
69,645effee5ab08876708a74fcc8202eaa50897d75,Added imageTargetSize to displayImage method,Alessandro Iurlano,48,1,1,a2d6559830337c0dd6a8afe39b449b90d6b1f9a4,library/src/main/java/com/nostra13/universalimageloader/core/ImageLoader.java,48,1,49,2015-07-05 18:39:20
70,3acca4ab599a816d88f46d91fd4d325bf08b8c3f,Issue #1026 - Check markSupported(),nostra13,9,7,1,8ff05559ae2c56f009da5de5195e2386ad6dfac1,library/src/main/java/com/nostra13/universalimageloader/core/decode/BaseImageDecoder.java,9,7,16,2015-07-02 17:10:23
71,a91f2f33dbfd5712ae6d026540d69915029464d8,Issue #1020 - Fixed: inPurgeable and inInputShareable causes file descriptor leak on KitKat,nostra13,1,6,1,3e19b7de574edfd077f65c93a64ec06614c37e3b,library/src/main/java/com/nostra13/universalimageloader/core/DisplayImageOptions.java,1,6,7,2015-06-20 10:46:37
72,8c41077f03e4728254ec5a7be46edd9575ee39de,Fixed Readme,nostra13,1,1,1,6188ef840f89fd90bd3b736a6e530e0a7195f322,README.md,1,1,2,2015-06-07 01:46:49
73,f9db2b157ab5b0f4b1003f7676ee4e1847a76a12,Gradle folder restructure (library),nostra13,482,453,4,adb06120865dbdec6e72e8d313a42b48290ef040,library/src/main/java/com/nostra13/universalimageloader/core/assist/LoadedFrom.java,1,1,2,2015-06-07 01:42:37
74,f9db2b157ab5b0f4b1003f7676ee4e1847a76a12,Gradle folder restructure (library),nostra13,482,453,4,8e693c61b4a7b6365aa08b18260235ca6f6e9ecf,library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/BlockingDeque.java,226,225,451,2015-06-07 01:42:37
75,f9db2b157ab5b0f4b1003f7676ee4e1847a76a12,Gradle folder restructure (library),nostra13,482,453,4,e30665b02e074f3153d2e6a33cd2474ef97d099b,library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/Deque.java,166,166,332,2015-06-07 01:42:37
76,f9db2b157ab5b0f4b1003f7676ee4e1847a76a12,Gradle folder restructure (library),nostra13,482,453,4,9b24c4766afd8f4b1f9d5aa85adaabeee454f757,library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java,89,61,150,2015-06-07 01:42:37
77,ec0529273ef197244b3dc9e092b8d8fc01b9c110,Gradle folder restructure,nostra13,1,1,1,254e9cf817ab3df5da1e25ce780d7ea8a0237f9f,library/src/main/java/com/nostra13/universalimageloader/core/assist/LoadedFrom.java,1,1,2,2015-06-07 01:41:24
78,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,8abd26629d80d491a06b7b26ffcd90fc79477a95,sample/build.gradle,9,15,24,2015-06-07 01:39:49
79,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,6080877d4ade158f24ad7ccd9a10db2ac9060b47,sample/libs/android-support-v4.jar,0,0,0,2015-06-07 01:39:49
80,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,5669622395a9a1016731c123d328235185fff8f9,sample/libs/okhttp-2.3.0.jar,0,0,0,2015-06-07 01:39:49
81,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,871d0e8f9ca271cfc8ed83752c519bdd8ef5b687,sample/libs/universal-image-loader-1.9.4.jar,0,0,0,2015-06-07 01:39:49
82,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,015c7b31a2e31fdf664d8b5a92fe3ecce6301beb,sample/src/main/AndroidManifest.xml,1,7,8,2015-06-07 01:39:49
83,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,9a73c3049c6ad45b02a61bdc497c16078a679acf,"sample/src/main/assets/Living Things @#&=+-_.,!()~'%20.jpg",0,0,0,2015-06-07 01:39:49
84,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,e179c4cb0e3d09cd9c989d0054d54f7e1ea20e4e,"sample/src/main/assets/Universal Image Loader @#&=+-_.,!()~'%20.png",0,0,0,2015-06-07 01:39:49
85,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,15dbb9ef6759eff5c8f80975c1fc6ec71bad01f9,sample/src/main/java/com/nostra13/universalimageloader/sample/Constants.java,0,0,0,2015-06-07 01:39:49
86,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,2122bdd7dc782743ed5573c9d28ea74a23a8771b,sample/src/main/java/com/nostra13/universalimageloader/sample/UILApplication.java,0,0,0,2015-06-07 01:39:49
87,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,58c523882d339e4a10ee9d73a6459907abfdbb6f,sample/src/main/java/com/nostra13/universalimageloader/sample/activity/ComplexImageActivity.java,0,0,0,2015-06-07 01:39:49
88,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,d03e610cc442532965d8547e15e2796be076c5a5,sample/src/main/java/com/nostra13/universalimageloader/sample/activity/HomeActivity.java,0,0,0,2015-06-07 01:39:49
89,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,854ae8a5b4b52b5a1053f9db25a21838ff891693,sample/src/main/java/com/nostra13/universalimageloader/sample/activity/SimpleImageActivity.java,0,0,0,2015-06-07 01:39:49
90,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,07d9943162fb617f88090f9bc5c8ecd12dee6c4d,sample/src/main/java/com/nostra13/universalimageloader/sample/ext/BrokenJpegImageDecoder.java,0,0,0,2015-06-07 01:39:49
91,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,f0695a026d2700a84458300ba874336126c28b07,sample/src/main/java/com/nostra13/universalimageloader/sample/ext/HttpClientImageDownloader.java,0,0,0,2015-06-07 01:39:49
92,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,b4a00e4ea118201969813338092d71134076a93a,sample/src/main/java/com/nostra13/universalimageloader/sample/ext/OkHttpImageDownloader.java,0,0,0,2015-06-07 01:39:49
93,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,7af7e2e757e8c71f030378dcc7e4e230ec9e01a3,sample/src/main/java/com/nostra13/universalimageloader/sample/ext/OldRoundedBitmapDisplayer.java,0,0,0,2015-06-07 01:39:49
94,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,1300364e40cf7d23a4646ca987d0e58f60348dcd,sample/src/main/java/com/nostra13/universalimageloader/sample/fragment/AbsListViewBaseFragment.java,0,0,0,2015-06-07 01:39:49
95,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,67252aa83e8493d9e691bb0ba45013eadc2dc8ac,sample/src/main/java/com/nostra13/universalimageloader/sample/fragment/BaseFragment.java,0,0,0,2015-06-07 01:39:49
96,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,2207e019ee1c0167dcc8b18315d83a9c42871052,sample/src/main/java/com/nostra13/universalimageloader/sample/fragment/ImageGalleryFragment.java,0,0,0,2015-06-07 01:39:49
97,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,d338feb3bd14c2dab8b9440b1bc8451dbda162f7,sample/src/main/java/com/nostra13/universalimageloader/sample/fragment/ImageGridFragment.java,0,0,0,2015-06-07 01:39:49
98,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,0c5076465ed6d763917104f4c4b881746614327e,sample/src/main/java/com/nostra13/universalimageloader/sample/fragment/ImageListFragment.java,0,0,0,2015-06-07 01:39:49
99,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,cb75a30c829856a0dbcbfe4b6e61999edcdf8af4,sample/src/main/java/com/nostra13/universalimageloader/sample/fragment/ImagePagerFragment.java,0,0,0,2015-06-07 01:39:49
100,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,b8eba40984200fe2135edc95c3f34814e8ef7e83,sample/src/main/java/com/nostra13/universalimageloader/sample/widget/UILWidgetProvider.java,0,0,0,2015-06-07 01:39:49
101,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,d6dc7893caebf6aad0c052e1bdcf8a1d5b00a301,sample/src/main/res/drawable-hdpi/ic_empty.png,0,0,0,2015-06-07 01:39:49
102,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,c26bceac93f580342a7008d51cbcdf7cfd1df33d,sample/src/main/res/drawable-hdpi/ic_error.png,0,0,0,2015-06-07 01:39:49
103,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,b0441520f492c8af61a79315658c8605ad245852,sample/src/main/res/drawable-hdpi/ic_launcher.png,0,0,0,2015-06-07 01:39:49
104,e7058df3b5d669902d63eeb8cb9d60ae9be0287c,Gradle folder restructure (sample),nostra13,10,22,57,99bb7ebd313aadbb6c5060fd60ffa949c987e9e4,sample/src/main/res/drawable-hdpi/ic_stub.png,0,0,0,2015-06-07 01:39:49
