,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,7aabec8d3f22010be78353906923d8fbae173f99,Merge pull request #984 from HanSolo/github-actions,Jan Kotek,27,0,1,5c9fb507e04debe6ec9deb18be23b94e732bd65f,.github/workflows/ci.yml,27,0,27,2021-02-13 16:43:29
1,5631733b688473e48277ad20459989b92603fc2d,Added github actions to replace travis,Gerrit Grunwald,27,0,1,5c9fb507e04debe6ec9deb18be23b94e732bd65f,.github/workflows/ci.yml,27,0,27,2021-02-10 14:59:15
2,a49275d5f432e30d20b25cb3da75302749d8eaa5,Create FUNDING.yml,Jan Kotek,1,0,1,96fa2db9bdd0921839ff3dd11ddf5b19d13221eb,.github/FUNDING.yml,1,0,1,2021-01-20 15:43:31
3,7b58dc06c8791a6eeea133954544d73f3a7f73ec,Gradle: update gradle,Jan Kotek,1,1,1,5028f28f8e4755a78a5bf0fef4644577b199c8c4,gradle/wrapper/gradle-wrapper.properties,1,1,2,2020-09-21 18:43:49
4,b02cfb324e668cce866b3f4c31e5a439b16448fe,"Travis: fix gradle versions, add wrapper",Jan Kotek,294,4,6,d669ddbd7d989279847f5667f22c7050f51c0cb7,.gitignore,0,3,3,2020-09-21 18:34:01
5,b02cfb324e668cce866b3f4c31e5a439b16448fe,"Travis: fix gradle versions, add wrapper",Jan Kotek,294,4,6,76f8708143e4f8239a1e9cfb159212088a916b1d,.travis.yml,1,1,2,2020-09-21 18:34:01
6,b02cfb324e668cce866b3f4c31e5a439b16448fe,"Travis: fix gradle versions, add wrapper",Jan Kotek,294,4,6,5c2d1cf016b3885f6930543d57b744ea8c220a1a,gradle/wrapper/gradle-wrapper.jar,0,0,0,2020-09-21 18:34:01
7,b02cfb324e668cce866b3f4c31e5a439b16448fe,"Travis: fix gradle versions, add wrapper",Jan Kotek,294,4,6,838e6bc85a8e709da27b4edf34268c05b006ceed,gradle/wrapper/gradle-wrapper.properties,5,0,5,2020-09-21 18:34:01
8,b02cfb324e668cce866b3f4c31e5a439b16448fe,"Travis: fix gradle versions, add wrapper",Jan Kotek,294,4,6,b0d6d0ab5deb588123dd658f0b079934ee05a72e,gradlew,188,0,188,2020-09-21 18:34:01
9,b02cfb324e668cce866b3f4c31e5a439b16448fe,"Travis: fix gradle versions, add wrapper",Jan Kotek,294,4,6,9991c503266b5962a2780ffd22af312c572c7522,gradlew.bat,100,0,100,2020-09-21 18:34:01
10,54a1d82f92e50c9511d588b729757c39a0122787,Gradle: enable kotlin in production,Jan Kotek,3,0,1,14a56f7049a527ad7f14b0c4d933092315444ac5,build.gradle,3,0,3,2020-09-21 08:52:46
11,0a382257776d844fcb92f6c14d6cae9365d0b6aa,Fix tests after migrating to Kotlin 1.4,Jan Kotek,10,15,3,a618b651fce317c2bcbe167641059b5de8bda7ad,build.gradle,4,8,12,2020-09-21 07:57:33
12,0a382257776d844fcb92f6c14d6cae9365d0b6aa,Fix tests after migrating to Kotlin 1.4,Jan Kotek,10,15,3,86653d7f748374c031f2dff5e73f5f53f06b0409,src/test/java/org/mapdb/TT.kt,3,5,8,2020-09-21 07:57:33
13,0a382257776d844fcb92f6c14d6cae9365d0b6aa,Fix tests after migrating to Kotlin 1.4,Jan Kotek,10,15,3,856680ea0bb07253eddc5129e93819b3037cf4c4,src/test/java/org/mapdb/ser/SerializersTest.kt,3,2,5,2020-09-21 07:57:33
14,0cbfe100674855f4472ecfd0e2322203f2af880a,"Gradle: reintroduce Kotlin, update deps",Jan Kotek,8,18,1,48606f6db723431b7fbb840fbf2122a016bec49d,build.gradle,8,18,26,2020-09-21 07:30:41
15,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,3e5bffc3ffd153e1ca6aaca2bb16ea18b4817b37,buildSrc/src/main/java/MDBCodeGen.kt,0,2,2,2020-09-21 07:30:24
16,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,31ac0c524e07fb2255248b9d88df6dabad670586,buildSrc/src/main/java/org/mapdb/ec/flat/Primitive.java,0,103,103,2020-09-21 07:30:24
17,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,3aa7f7ec1850dc683affde8753946ed1aaec15f9,buildSrc/src/main/java/org/mapdb/ec/flat/copyrightAndOthers.kt,0,14,14,2020-09-21 07:30:24
18,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,73929cc3f12d9c67c5e720e97c0999d770eb7478,buildSrc/src/main/java/org/mapdb/ec/flat/primitiveArrayList.kt,0,1118,1118,2020-09-21 07:30:24
19,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,ee7ff030fb6246650d2ce6fd1bfeb8cf4f88991f,buildSrc/src/main/java/org/mapdb/ec/flat/primitiveCompare.kt,0,29,29,2020-09-21 07:30:24
20,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,70b5d5a8c841b4d44c4d4e365612928735e84485,buildSrc/src/main/java/org/mapdb/ec/flat/primitiveEquals.kt,0,91,91,2020-09-21 07:30:24
21,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,06b5e11eec3bc99881e7166aa5f5e5945d3e75ed,buildSrc/src/main/java/org/mapdb/ec/flat/primitiveHashCode.kt,0,148,148,2020-09-21 07:30:24
22,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,5bb4617e5a0fb858eeb56f6577fb6cebea984dff,buildSrc/src/main/java/org/mapdb/ec/flat/primitiveLiteral.kt,0,336,336,2020-09-21 07:30:24
23,fd407c4b455f134e9405266d1765f68e19eaa5b1,Codegen: remove EC lists,Jan Kotek,0,1860,9,62207241b6028285844c0e1760de4716e2a8fcb3,buildSrc/src/main/java/org/mapdb/ec/flat/run.kt,0,19,19,2020-09-21 07:30:24
24,ad209eaafb49e4df658314e03fcf31911372415b,StoreTest: ignore large records if store does not support that,Jan Kotek,21,0,3,d13c7c1d4a316a72cafe44e4bf9ccac006b6c903,src/main/java/org/mapdb/store/Store.java,4,0,4,2020-08-09 12:04:57
25,ad209eaafb49e4df658314e03fcf31911372415b,StoreTest: ignore large records if store does not support that,Jan Kotek,21,0,3,c3ef58031eda7653a90cff76c0e9952dbf992745,src/main/java/org/mapdb/store/li/LiStore.java,5,0,5,2020-08-09 12:04:57
26,ad209eaafb49e4df658314e03fcf31911372415b,StoreTest: ignore large records if store does not support that,Jan Kotek,21,0,3,d9c9978e8a5af52cd0451b4f85d3a09463c97c53,src/test/java/org/mapdb/store/StoreTest.kt,12,0,12,2020-08-09 12:04:57
27,6205fbf4762293bee83361654de3a16538d0de87,LongBufStack,Jan Kotek,60,0,2,889614d5b4a88628bb62f816acbe86fcbfd24f9e,src/main/java/org/mapdb/flat/LongBufStack.java,34,0,34,2020-08-03 09:47:57
28,6205fbf4762293bee83361654de3a16538d0de87,LongBufStack,Jan Kotek,60,0,2,3b6fa06db1fd04140623c7e1c9cd39903eba4a28,src/test/java/org/mapdb/flat/LongBufStackTest.kt,26,0,26,2020-08-03 09:47:57
29,befb4216f57bfd290258d0cdff5da5afe1438e82,Store progress,Jan Kotek,6,2,2,d6593338a28470b405aa0d603687d98fd7e2f9fc,src/main/java/org/mapdb/store/li/LiStore.java,2,2,4,2020-07-24 19:36:46
30,befb4216f57bfd290258d0cdff5da5afe1438e82,Store progress,Jan Kotek,6,2,2,57c5b4c1328c184f47ff3949a57158659be44e3e,src/main/java/org/mapdb/store/li/LiUtil.java,4,0,4,2020-07-24 19:36:46
31,98fcdc85d206d9996e82ad2ab302e13f84d1929d,Li: record types,Jan Kotek,21,13,2,5b7b6f9c37e6950a3f07edcf2a5820c962726206,src/main/java/org/mapdb/store/li/LiStore.java,12,12,24,2020-07-18 13:23:47
32,98fcdc85d206d9996e82ad2ab302e13f84d1929d,Li: record types,Jan Kotek,21,13,2,6c49f9b6860855d035458919a36a334cf5f4db22,src/main/java/org/mapdb/store/li/LiUtil.java,9,1,10,2020-07-18 13:23:47
33,32de725f97d9ebd7178a425d0255443b92bdd4c1,"Li: separate pkg, ByteBuffer",Jan Kotek,50,29,2,932d6634af723a35880bb8eadd9c6d67612731ba,src/main/java/org/mapdb/store/li/LiStore.java,16,29,45,2020-07-18 13:16:10
34,32de725f97d9ebd7178a425d0255443b92bdd4c1,"Li: separate pkg, ByteBuffer",Jan Kotek,50,29,2,0ab31f86f5733960b50d245b458fda0196a3a1c3,src/main/java/org/mapdb/store/li/LiUtil.java,34,0,34,2020-07-18 13:16:10
35,b0372eb0acbeffa658e3e68be9af91914abbdd4b,Li: Move to separate package,Jan Kotek,3,1,2,72b49b701af56a6e0f262e344950fce26444260a,src/main/java/org/mapdb/store/li/LiStore.java,2,1,3,2020-07-18 12:55:28
36,b0372eb0acbeffa658e3e68be9af91914abbdd4b,Li: Move to separate package,Jan Kotek,3,1,2,3138b7921f6549e0f2193d0f58fdc9c73fbd0737,src/test/java/org/mapdb/store/StoreTest.kt,1,0,1,2020-07-18 12:55:28
37,74dba9bc55c57865269406fa087580a135410c30,LiStore,Jan Kotek,240,0,1,00dc1421769a1cfc4c7a2bb4746cfbedbe9f0402,src/main/java/org/mapdb/store/LiStore.java,240,0,240,2020-07-15 19:51:44
38,6313493104186c16bfea1d3d8d7572c5d385a794,LiStore,Jan Kotek,4,0,1,95bb73d8fe704e6d347b0412d8f207d06dce18ea,src/test/java/org/mapdb/store/StoreTest.kt,4,0,4,2020-07-15 19:51:17
39,a478f2c031c15cb3e4d51dcb943746664d52d579,Code generator now generates *RWLock classes,Jan Kotek,61,4,5,e37233380db68e6d165e583062ee17bdfb186c70,buildSrc/src/main/java/GenMarkers.kt,42,0,42,2020-07-11 10:58:13
40,a478f2c031c15cb3e4d51dcb943746664d52d579,Code generator now generates *RWLock classes,Jan Kotek,61,4,5,abdb4f72a38818587420e0110c322ecbc99a3c0a,buildSrc/src/main/java/MDBCodeGen.kt,9,4,13,2020-07-11 10:58:13
41,a478f2c031c15cb3e4d51dcb943746664d52d579,Code generator now generates *RWLock classes,Jan Kotek,61,4,5,c9f89e5b339a481af5a955a0c5e39e5d2d4e7f45,src/main/java/org/mapdb/store/FileHeapBufStore.java,2,0,2,2020-07-11 10:58:13
42,a478f2c031c15cb3e4d51dcb943746664d52d579,Code generator now generates *RWLock classes,Jan Kotek,61,4,5,7bd2ce6b8ff1acd60367de94618e63e8c2cec964,src/test/java/org/mapdb/store/StoreReopenTest.kt,4,0,4,2020-07-11 10:58:13
43,a478f2c031c15cb3e4d51dcb943746664d52d579,Code generator now generates *RWLock classes,Jan Kotek,61,4,5,4872442c98065384a6c3f1d5220049690221678d,src/test/java/org/mapdb/store/StoreTest.kt,4,0,4,2020-07-11 10:58:13
44,2d49970c62346586ab3b894448d2d1fc136a127b,Remove obsolete TODOs,Jan Kotek,8,35,3,1bc85d896e9179c78ef25e1f1ccceefc6f33db3d,src/test/java/harmony/AbstractListTest.java,0,2,2,2020-07-09 15:01:37
45,2d49970c62346586ab3b894448d2d1fc136a127b,Remove obsolete TODOs,Jan Kotek,8,35,3,f7eb600c6299896e14dc57d2abe065154e6b2c31,src/test/java/org/mapdb/jsr166Tests/BlockingQueueTest.java,2,3,5,2020-07-09 15:01:37
46,2d49970c62346586ab3b894448d2d1fc136a127b,Remove obsolete TODOs,Jan Kotek,8,35,3,90b645ba9ecbe1c45f94189b7b77120ddc4baf66,src/test/java/org/mapdb/jsr166Tests/Collection8Test.java,6,30,36,2020-07-09 15:01:37
47,1eaca4f8e8a1a6de740848ee63f3856a78a95a82,travis: add JDK 11,Jan Kotek,1,1,1,64e5a6a431109a794c9ed5a97ad29f25738fbc9f,.travis.yml,1,1,2,2020-05-21 21:42:48
48,0b78b60895ed12265202b5e3e85ebb6b0eacb8ce,Add ConcMapStore,Jan Kotek,234,1,3,7c446775db7dc4ef5b0472a4d8ba9844548c773b,src/main/java/org/mapdb/store/ConcMapStore.java,207,0,207,2020-05-21 21:41:50
49,0b78b60895ed12265202b5e3e85ebb6b0eacb8ce,Add ConcMapStore,Jan Kotek,234,1,3,5e5ba7eb6e6e8d7f482f148a0d5d66d627fb6b69,src/main/java/org/mapdb/util/MonoRef.java,16,0,16,2020-05-21 21:41:50
50,0b78b60895ed12265202b5e3e85ebb6b0eacb8ce,Add ConcMapStore,Jan Kotek,234,1,3,62d49d159f72f4be9fb6dba3438eae58aa3bcebe,src/test/java/org/mapdb/store/StoreTest.kt,11,1,12,2020-05-21 21:41:50
51,dc5544ceff4feed79c149b343f3112486034cb44,"Rework Store preallocation, fix legacy StoreDirect, remove legacy StoreWAL",Jan Kotek,112,1177,7,fc9b3266f218814695348f9cd7cdca86a04943d1,src/main/java/org/mapdb/DBException.java,0,7,7,2020-05-18 16:57:02
52,dc5544ceff4feed79c149b343f3112486034cb44,"Rework Store preallocation, fix legacy StoreDirect, remove legacy StoreWAL",Jan Kotek,112,1177,7,ae058196e171f271f9e40b2a8c0b2ed3e9c4c7b1,src/main/java/org/mapdb/store/HeapBufStore.java,5,5,10,2020-05-18 16:57:02
53,dc5544ceff4feed79c149b343f3112486034cb44,"Rework Store preallocation, fix legacy StoreDirect, remove legacy StoreWAL",Jan Kotek,112,1177,7,fb127022e075eeecff4718df3d62fb8b9f93faf6,src/main/java/org/mapdb/store/legacy/StoreDirect.java,65,20,85,2020-05-18 16:57:02
54,dc5544ceff4feed79c149b343f3112486034cb44,"Rework Store preallocation, fix legacy StoreDirect, remove legacy StoreWAL",Jan Kotek,112,1177,7,b3b331fe58a07532cb4feb9838fa0c0e15c2fed4,src/main/java/org/mapdb/store/legacy/StoreWAL.java,0,1108,1108,2020-05-18 16:57:02
55,dc5544ceff4feed79c149b343f3112486034cb44,"Rework Store preallocation, fix legacy StoreDirect, remove legacy StoreWAL",Jan Kotek,112,1177,7,46fa91adc923c53353bbf63916a58152f08a979f,src/main/java/org/mapdb/store/legacy/Volume.java,2,16,18,2020-05-18 16:57:02
56,dc5544ceff4feed79c149b343f3112486034cb44,"Rework Store preallocation, fix legacy StoreDirect, remove legacy StoreWAL",Jan Kotek,112,1177,7,e59a8910248594c4118053e50e5f96c071994bc2,src/test/java/org/mapdb/store/StoreReopenTest.kt,0,6,6,2020-05-18 16:57:02
57,dc5544ceff4feed79c149b343f3112486034cb44,"Rework Store preallocation, fix legacy StoreDirect, remove legacy StoreWAL",Jan Kotek,112,1177,7,5fd52bce2cb7976eb97c127b94b7a73935d16632,src/test/java/org/mapdb/store/StoreTest.kt,40,15,55,2020-05-18 16:57:02
58,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,50a7b0aa7cd294f92e8a73c34d1559bfb16c6e6a,src/main/java/org/mapdb/DBException.java,13,2,15,2020-04-18 18:46:36
59,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,857deada90f02b84ef63fbabfb82ea6603b1d476,src/main/java/org/mapdb/store/FileHeapBufStore.java,2,2,4,2020-04-18 18:46:36
60,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,099c25b97e57fb19350d862df9cbbfc20b5df686,src/main/java/org/mapdb/store/HeapBufStore.java,49,18,67,2020-04-18 18:46:36
61,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,35779a5e29b1a7fca653ae20e2fcc802b6c9a52a,src/main/java/org/mapdb/store/ReadonlyStore.java,5,3,8,2020-04-18 18:46:36
62,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,732f871025b59f9e13313c7c42216a612b5d4413,src/main/java/org/mapdb/store/Store.java,17,12,29,2020-04-18 18:46:36
63,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,8da9ee615ebea33341cdebe7b335fd2b6b1f5e5d,src/main/java/org/mapdb/store/legacy/Store2.java,21,18,39,2020-04-18 18:46:36
64,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,0581c76c47691f76a178fad5ea2264a32ded249a,src/main/java/org/mapdb/store/legacy/StoreDirect.java,23,8,31,2020-04-18 18:46:36
65,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,b3b331fe58a07532cb4feb9838fa0c0e15c2fed4,src/main/java/org/mapdb/store/legacy/StoreWAL.java,4,0,4,2020-04-18 18:46:36
66,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,bbf48da8bbd69b62749b515d3b81e29c5576ca6f,src/main/java/org/mapdb/store/legacy/Volume.java,4,1,5,2020-04-18 18:46:36
67,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,41570a3bf9912f6b18be46631f0e6cac21f68939,src/test/java/harmony/ArrayListTest.java,40,43,83,2020-04-18 18:46:36
68,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,05f1e40c3c4b92f6784b4028adb8e184f69cac2e,src/test/java/org/mapdb/record/VarRecordTest.java,11,2,13,2020-04-18 18:46:36
69,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,de9e4f6a2ef86bbf556360cc6c5afc1470f33b20,src/test/java/org/mapdb/store/StoreReopenTest.kt,12,0,12,2020-04-18 18:46:36
70,4a05bc8f7ba86e777acb1334b74c2a648a93d745,Change Store preallocation and null record handling,Jan Kotek,307,145,13,e1cd464c1713866fd966bbc731b278d8c4f143c6,src/test/java/org/mapdb/store/StoreTest.kt,106,36,142,2020-04-18 18:46:36
71,c1e74c40dd1ad1ad494fca2604cf43576f202bab,Make it compilable,Jan Kotek,97,31,4,c4885ca9c75ccb08f9cb59d356bd1ffdad637e36,src/main/java/org/mapdb/store/Store.java,6,1,7,2020-04-02 16:23:43
72,c1e74c40dd1ad1ad494fca2604cf43576f202bab,Make it compilable,Jan Kotek,97,31,4,814ee5de400ec9db30eddbf1e0fd8f6bc713f084,src/main/java/org/mapdb/store/StoreTx.java,7,0,7,2020-04-02 16:23:43
73,c1e74c40dd1ad1ad494fca2604cf43576f202bab,Make it compilable,Jan Kotek,97,31,4,4e35d5c0afeea722ee819ee0431c627b78811126,src/main/java/org/mapdb/store/legacy/StoreDirect.java,80,22,102,2020-04-02 16:23:43
74,c1e74c40dd1ad1ad494fca2604cf43576f202bab,Make it compilable,Jan Kotek,97,31,4,cc61c7c943cf90f3a1f3a35757571debb0b15d94,src/main/java/org/mapdb/store/legacy/StoreWAL.java,4,8,12,2020-04-02 16:23:43
75,718a848068ec069effdb59df788727225c845c80,Solve DataIO in legacy stores,Jan Kotek,245,56,6,3dea08bbe9322e86ffde2527709f8c2d52878b82,src/main/java/org/mapdb/io/DataInput2ByteBuffer.java,91,0,91,2020-04-02 16:03:17
76,718a848068ec069effdb59df788727225c845c80,Solve DataIO in legacy stores,Jan Kotek,245,56,6,41d1a85cdbabc18295f7036afb563d87c26929d2,src/main/java/org/mapdb/store/legacy/DataInput2Exposed.java,119,0,119,2020-04-02 16:03:17
77,718a848068ec069effdb59df788727225c845c80,Solve DataIO in legacy stores,Jan Kotek,245,56,6,3b453eca20e5e685553fb90e0c3d11a76c9ab39f,src/main/java/org/mapdb/store/legacy/Store2.java,6,13,19,2020-04-02 16:03:17
78,718a848068ec069effdb59df788727225c845c80,Solve DataIO in legacy stores,Jan Kotek,245,56,6,8409c8c36c94003136d3213468f9b20319ea9200,src/main/java/org/mapdb/store/legacy/StoreDirect.java,11,13,24,2020-04-02 16:03:17
79,718a848068ec069effdb59df788727225c845c80,Solve DataIO in legacy stores,Jan Kotek,245,56,6,81465ee24817f09e5f88b766349394414abec446,src/main/java/org/mapdb/store/legacy/StoreWAL.java,12,22,34,2020-04-02 16:03:17
80,718a848068ec069effdb59df788727225c845c80,Solve DataIO in legacy stores,Jan Kotek,245,56,6,e8fb17e0a4c677996272543b69b428114a9bf906,src/main/java/org/mapdb/store/legacy/Volume.java,6,8,14,2020-04-02 16:03:17
81,13dad3580904e9656c0508e339f750550489881e,"Simplify legaxy classes, remove some features",Jan Kotek,112,328,8,3f9225bafb8b9eb89334f2449625c41748caa2eb,src/main/java/org/mapdb/CC.java,2,0,2,2020-04-02 15:12:58
82,13dad3580904e9656c0508e339f750550489881e,"Simplify legaxy classes, remove some features",Jan Kotek,112,328,8,bd90248e67b457aa10673fa10be21d2c31e87009,src/main/java/org/mapdb/store/Recids.java,1,1,2,2020-04-02 15:12:58
83,13dad3580904e9656c0508e339f750550489881e,"Simplify legaxy classes, remove some features",Jan Kotek,112,328,8,28b83f564680b09e074033aae575b0a91e9e46ca,src/main/java/org/mapdb/store/legacy/Fun.java,8,0,8,2020-04-02 15:12:58
84,13dad3580904e9656c0508e339f750550489881e,"Simplify legaxy classes, remove some features",Jan Kotek,112,328,8,022673b492b5955a66da45158b376400fe36a002,src/main/java/org/mapdb/store/legacy/LongConcurrentHashMap.java,1,2,3,2020-04-02 15:12:58
85,13dad3580904e9656c0508e339f750550489881e,"Simplify legaxy classes, remove some features",Jan Kotek,112,328,8,7ccbe6bbad2109e841370903fd8b2f997dcb5611,src/main/java/org/mapdb/store/legacy/Store2.java,16,214,230,2020-04-02 15:12:58
86,13dad3580904e9656c0508e339f750550489881e,"Simplify legaxy classes, remove some features",Jan Kotek,112,328,8,220bd5382bd8e795e3ab98cf3ade80040dc147ac,src/main/java/org/mapdb/store/legacy/StoreDirect.java,36,43,79,2020-04-02 15:12:58
87,13dad3580904e9656c0508e339f750550489881e,"Simplify legaxy classes, remove some features",Jan Kotek,112,328,8,b0fa327b83ba3e54c8f15e7aeae280c92cf54bcd,src/main/java/org/mapdb/store/legacy/StoreWAL.java,16,25,41,2020-04-02 15:12:58
88,13dad3580904e9656c0508e339f750550489881e,"Simplify legaxy classes, remove some features",Jan Kotek,112,328,8,eabc69a8c046e20fb75ffa6a1d53566a4425f42f,src/main/java/org/mapdb/store/legacy/Volume.java,32,43,75,2020-04-02 15:12:58
89,ea003cb881ec6827e2d17afcc87b750101ca0011,More classes from MapDB1,Jan Kotek,2665,0,4,b7a3e9a0f90fb2ade20358fe965576ef2824d3f4,src/main/java/org/mapdb/store/legacy/LongConcurrentHashMap.java,977,0,977,2020-04-02 14:58:27
90,ea003cb881ec6827e2d17afcc87b750101ca0011,More classes from MapDB1,Jan Kotek,2665,0,4,10a06348e92fb076d0d1718e3d16e13b11e8f71f,src/main/java/org/mapdb/store/legacy/LongHashMap.java,490,0,490,2020-04-02 14:58:27
91,ea003cb881ec6827e2d17afcc87b750101ca0011,More classes from MapDB1,Jan Kotek,2665,0,4,5b94a1c7ca5e995f8b8fa6c2192b8e28b4448638,src/main/java/org/mapdb/store/legacy/LongMap.java,118,0,118,2020-04-02 14:58:27
92,ea003cb881ec6827e2d17afcc87b750101ca0011,More classes from MapDB1,Jan Kotek,2665,0,4,4dd94617812c4e33ae9e9f7b8e3665bb457950d6,src/main/java/org/mapdb/store/legacy/Volume.java,1080,0,1080,2020-04-02 14:58:27
93,dd609a22d328e2603a9115042dba8763486fb527,Checkin stores from MapDB 1,Jan Kotek,2711,0,3,c3861ecbc06648e41e9583e58b2d6607c98523d9,src/main/java/org/mapdb/store/legacy/Store2.java,358,0,358,2020-04-02 14:43:18
94,dd609a22d328e2603a9115042dba8763486fb527,Checkin stores from MapDB 1,Jan Kotek,2711,0,3,1eb4bc2952448b315d96dc452193ac583b9156d1,src/main/java/org/mapdb/store/legacy/StoreDirect.java,1226,0,1226,2020-04-02 14:43:18
95,dd609a22d328e2603a9115042dba8763486fb527,Checkin stores from MapDB 1,Jan Kotek,2711,0,3,1d261b7a04e0005c00691521b53c0c8d961d0b95,src/main/java/org/mapdb/store/legacy/StoreWAL.java,1127,0,1127,2020-04-02 14:43:18
96,1b547d91b6ee2fd0e658a60176e5d14f091229ad,Add KernelList,Jan Kotek,207,19,5,80f4b37f1f8d7b8a0c220c095623d4f8ac63ea8c,src/main/java/org/mapdb/list/KernelList.java,157,0,157,2020-04-01 21:38:19
97,1b547d91b6ee2fd0e658a60176e5d14f091229ad,Add KernelList,Jan Kotek,207,19,5,8901e6128b60aa5f153a81876fc3c28b6cd32ab0,src/main/java/org/mapdb/list/MonolithList.java,2,1,3,2020-04-01 21:38:19
98,1b547d91b6ee2fd0e658a60176e5d14f091229ad,Add KernelList,Jan Kotek,207,19,5,add767ed57bb0d407330b4ae341f627afd0be261,src/main/java/org/mapdb/store/HeapBufStore.java,9,1,10,2020-04-01 21:38:19
99,1b547d91b6ee2fd0e658a60176e5d14f091229ad,Add KernelList,Jan Kotek,207,19,5,108e3b3f2b350708b2957741f132e99618ed4861,src/test/java/harmony/ArrayListTest.java,15,17,32,2020-04-01 21:38:19
100,1b547d91b6ee2fd0e658a60176e5d14f091229ad,Add KernelList,Jan Kotek,207,19,5,c65f4d307a93c6e7b68007e68b0b6d76620e6974,src/test/java/org/mapdb/list/KernelListHarmonyTest.java,24,0,24,2020-04-01 21:38:19
101,2f07c3ec92401f86c98b51490efdec10efc9dc90,Add MonolithList,Jan Kotek,254,114,5,b25ff75c7062a1310d3fb4b1967a3563c4bc67e1,src/main/java/org/mapdb/list/MonolithList.java,114,0,114,2020-04-01 20:40:24
102,2f07c3ec92401f86c98b51490efdec10efc9dc90,Add MonolithList,Jan Kotek,254,114,5,516307f6411a0b592e28bf29db7428206e1ddfcd,src/main/java/org/mapdb/ser/ArrayListSerializer.java,41,0,41,2020-04-01 20:40:24
103,2f07c3ec92401f86c98b51490efdec10efc9dc90,Add MonolithList,Jan Kotek,254,114,5,9986ec29e0825fb249ccc10ffc247ac1c007d82b,src/test/java/harmony/ArrayListTest.java,68,105,173,2020-04-01 20:40:24
104,2f07c3ec92401f86c98b51490efdec10efc9dc90,Add MonolithList,Jan Kotek,254,114,5,a3d9a8e0cf9339e32a37d32aef8b38b2b8afd662,src/test/java/harmony/Support_ListTest.java,9,9,18,2020-04-01 20:40:24
105,2f07c3ec92401f86c98b51490efdec10efc9dc90,Add MonolithList,Jan Kotek,254,114,5,34b05bdc52bd4619468e2bd85f68a174c946ec26,src/test/java/org/mapdb/list/MonolithListHarmonyTest.java,22,0,22,2020-04-01 20:40:24
106,8254201168196246a37e139aec73263a10928893,ArrayListTest from Harmony can test other types of list,Jan Kotek,40,130,1,bf80a683dff2fa617a4ac4224c345a0748150065,src/test/java/harmony/ArrayListTest.java,40,130,170,2020-04-01 19:47:08
107,037cac1584365c3b0fb6680388c7aa4e81cb04d5,Add List tests from Apache Harmony,Jan Kotek,2826,0,6,e115097772a84a8870574c2758317306d16fb1fc,src/test/java/harmony/AbstractListTest.java,497,0,497,2020-04-01 19:24:51
108,037cac1584365c3b0fb6680388c7aa4e81cb04d5,Add List tests from Apache Harmony,Jan Kotek,2826,0,6,f59242e887511865f9305e45a6ab0736e2e86c53,src/test/java/harmony/ArrayListTest.java,993,0,993,2020-04-01 19:24:51
109,037cac1584365c3b0fb6680388c7aa4e81cb04d5,Add List tests from Apache Harmony,Jan Kotek,2826,0,6,5e61f2bba02fdd5d63cc2f3669c59bb47549f1f0,src/test/java/harmony/LinkedListTest.java,885,0,885,2020-04-01 19:24:51
